CP,msg
productor,"{index: 56, value: .\..\..\.git\objects\78\16a64245bc41495b51ec4c7725591742fd2335}"
consumer,"{index: 56, value: .\..\..\.git\objects\78\16a64245bc41495b51ec4c7725591742fd2335}"
productor,"{index: 57, value: .\..\..\.git\objects\79\97761d9ae5ac093cdff54a80fd9bf3beb4957c}"
consumer,"{index: 57, value: .\..\..\.git\objects\79\97761d9ae5ac093cdff54a80fd9bf3beb4957c}"
productor,"{index: 58, value: .\..\..\.git\objects\7d\ef6ed893ded24f27af9e94a8e730a3e47863ad}"
consumer,"{index: 58, value: .\..\..\.git\objects\7d\ef6ed893ded24f27af9e94a8e730a3e47863ad}"
productor,"{index: 59, value: .\..\..\.git\objects\81\5d3fe2cacd0a8a6cd4c3b3c8d62d40383c92c6}"
consumer,"{index: 59, value: .\..\..\.git\objects\81\5d3fe2cacd0a8a6cd4c3b3c8d62d40383c92c6}"
productor,"{index: 60, value: .\..\..\.git\objects\83\0ebf32fec6212e2c52429f58c408c918c1d7a5}"
consumer,"{index: 60, value: .\..\..\.git\objects\83\0ebf32fec6212e2c52429f58c408c918c1d7a5}"
productor,"{index: 60, value: .\..\..\.git\objects\83\11a9221d355afc327652d43b77e99260babc59}"
consumer,"{index: 60, value: .\..\..\.git\objects\83\11a9221d355afc327652d43b77e99260babc59}"
productor,"{index: 61, value: .\..\..\.git\objects\8a\d4393259c13775ae3284e4b782a5574e374f7a}"
consumer,"{index: 61, value: .\..\..\.git\objects\8a\d4393259c13775ae3284e4b782a5574e374f7a}"
productor,"{index: 62, value: .\..\..\.git\objects\8d\d53e477a0ef08c4a997625a80dec5842d05f96}"
consumer,"{index: 62, value: .\..\..\.git\objects\8d\d53e477a0ef08c4a997625a80dec5842d05f96}"
productor,"{index: 63, value: .\..\..\.git\objects\90\3f7049b0238e087bc7df697d5bd631635f8a23}"
consumer,"{index: 63, value: .\..\..\.git\objects\90\3f7049b0238e087bc7df697d5bd631635f8a23}"
productor,"{index: 64, value: .\..\..\.git\objects\94\522a6f447817f6a74783a2ed41a00ee9b2c0a3}"
consumer,"{index: 64, value: .\..\..\.git\objects\94\522a6f447817f6a74783a2ed41a00ee9b2c0a3}"
productor,"{index: 64, value: .\..\..\.git\objects\94\9ebb437c5bf3d4f40b41a9dc428c60675d8519}"
consumer,"{index: 64, value: .\..\..\.git\objects\94\9ebb437c5bf3d4f40b41a9dc428c60675d8519}"
productor,"{index: 65, value: .\..\..\.git\objects\98\1847261166230aa743bcd0865300a7e341529f}"
consumer,"{index: 65, value: .\..\..\.git\objects\98\1847261166230aa743bcd0865300a7e341529f}"
productor,"{index: 66, value: .\..\..\.git\objects\9c\fa59ac474c71063864fe5d7f96f155dd959916}"
consumer,"{index: 66, value: .\..\..\.git\objects\9c\fa59ac474c71063864fe5d7f96f155dd959916}"
productor,"{index: 67, value: .\..\..\.git\objects\a2\4b92e91ef23ee018cab4e573a79cb6387bd983}"
consumer,"{index: 67, value: .\..\..\.git\objects\a2\4b92e91ef23ee018cab4e573a79cb6387bd983}"
productor,"{index: 68, value: .\..\..\.git\objects\a4\0b01b3a529812389eb0da6b49e41330b291a9d}"
consumer,"{index: 68, value: .\..\..\.git\objects\a4\0b01b3a529812389eb0da6b49e41330b291a9d}"
productor,"{index: 69, value: .\..\..\.git\objects\a5\2ad039306ff482b93cfad0793182ecf4c70ed8}"
consumer,"{index: 69, value: .\..\..\.git\objects\a5\2ad039306ff482b93cfad0793182ecf4c70ed8}"
productor,"{index: 69, value: .\..\..\.git\objects\a5\576ef62309076698fed57dd3529a5245c3bd70}"
consumer,"{index: 69, value: .\..\..\.git\objects\a5\576ef62309076698fed57dd3529a5245c3bd70}"
productor,"{index: 70, value: .\..\..\.git\objects\a6\9725bdf849fcc28deb1b483e9f13f986ee77ba}"
consumer,"{index: 70, value: .\..\..\.git\objects\a6\9725bdf849fcc28deb1b483e9f13f986ee77ba}"
productor,"{index: 71, value: .\..\..\.git\objects\a7\0db1c71d8569b91c1eaac3bb9d314db35fda32}"
consumer,"{index: 71, value: .\..\..\.git\objects\a7\0db1c71d8569b91c1eaac3bb9d314db35fda32}"
productor,"{index: 71, value: .\..\..\.git\objects\a7\3a75c4ecccc65d35a6418f2058c6a9fe4c9370}"
consumer,"{index: 71, value: .\..\..\.git\objects\a7\3a75c4ecccc65d35a6418f2058c6a9fe4c9370}"
productor,"{index: 71, value: .\..\..\.git\objects\a7\82b87912916dcfcd60bae251b43779cb0c94ad}"
consumer,"{index: 71, value: .\..\..\.git\objects\a7\82b87912916dcfcd60bae251b43779cb0c94ad}"
productor,"{index: 72, value: .\..\..\.git\objects\aa\c4d861f9d42c208b5bed9d0b8197f8750833f0}"
consumer,"{index: 72, value: .\..\..\.git\objects\aa\c4d861f9d42c208b5bed9d0b8197f8750833f0}"
productor,"{index: 73, value: .\..\..\.git\objects\af\5845fd899aedda6a4c0f53033e93ca1663b9a9}"
consumer,"{index: 73, value: .\..\..\.git\objects\af\5845fd899aedda6a4c0f53033e93ca1663b9a9}"
productor,"{index: 74, value: .\..\..\.git\objects\b0\e0d313330e09c8d9b763a3d8ce7ba10a941350}"
consumer,"{index: 74, value: .\..\..\.git\objects\b0\e0d313330e09c8d9b763a3d8ce7ba10a941350}"
productor,"{index: 75, value: .\..\..\.git\objects\b1\c3caa118f6ecd02b0cb3e263abb2b14cf87fb3}"
consumer,"{index: 75, value: .\..\..\.git\objects\b1\c3caa118f6ecd02b0cb3e263abb2b14cf87fb3}"
productor,"{index: 76, value: .\..\..\.git\objects\b6\1b6efe76f683c2d8423d0e9b21ab09a7512918}"
consumer,"{index: 76, value: .\..\..\.git\objects\b6\1b6efe76f683c2d8423d0e9b21ab09a7512918}"
